Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
2006,Member States,NL,Netherlands,t CO2 equivalent,29693.18805,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,NL,Netherlands,t CO2 equivalent,26603.2078,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,NL,Netherlands,t CO2 equivalent,29669.76359,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,NL,Netherlands,t CO2 equivalent,29684.38868,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,NL,Netherlands,t CO2 equivalent,34247.76395,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,NL,Netherlands,t CO2 equivalent,26883.37327,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,NL,Netherlands,t CO2 equivalent,29066.79644,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,NL,Netherlands,t CO2 equivalent,30266.1302,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,NL,Netherlands,t CO2 equivalent,23122.34778,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,NL,Netherlands,t CO2 equivalent,24638.78155,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,NL,Netherlands,t CO2 equivalent,25321.71367,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,NL,Netherlands,t CO2 equivalent,24784.47038,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,NL,Netherlands,t CO2 equivalent,24419.16656,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,NL,Netherlands,t CO2 equivalent,23311.13382,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,NL,Netherlands,t CO2 equivalent,21798.15171,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,NL,Netherlands,t CO2 equivalent,24368.04423,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,MT,Malta,t CO2 equivalent,261.1084766,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,MT,Malta,t CO2 equivalent,242.0833532,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,MT,Malta,t CO2 equivalent,292.8563779,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,MT,Malta,t CO2 equivalent,296.1575584,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,MT,Malta,t CO2 equivalent,337.2911595,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,MT,Malta,t CO2 equivalent,329.9366771,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,MT,Malta,t CO2 equivalent,332.1288179,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,MT,Malta,t CO2 equivalent,375.4067571,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,MT,Malta,t CO2 equivalent,331.2441945,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,MT,Malta,t CO2 equivalent,293.7264026,All greenhouse gases - (CO2 equivalent),Residential and Commercial
