Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
2005,Member States,SE,Sweden,t CO2 equivalent,6719.455074205,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,SE,Sweden,t CO2 equivalent,7156.968178397,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,SE,Sweden,t CO2 equivalent,7086.500323538,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,SE,Sweden,t CO2 equivalent,6879.374001639,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,SE,Sweden,t CO2 equivalent,7331.979059697,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,SE,Sweden,t CO2 equivalent,6929.094528086,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,SE,Sweden,t CO2 equivalent,5817.565443815,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,SE,Sweden,t CO2 equivalent,5569.873364181,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,SE,Sweden,t CO2 equivalent,5241.922324063,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,SE,Sweden,t CO2 equivalent,5679.398754597,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,SE,Sweden,t CO2 equivalent,5837.413717077,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,SE,Sweden,t CO2 equivalent,6405.715670507,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,SE,Sweden,t CO2 equivalent,7396.064056625,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,SE,Sweden,t CO2 equivalent,5730.811094788,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,SE,Sweden,t CO2 equivalent,6994.891508992,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,SE,Sweden,t CO2 equivalent,8309.010514776,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,SE,Sweden,t CO2 equivalent,8069.266375661,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,RO,Romania,t CO2 equivalent,100.843344301,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,RO,Romania,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,RO,Romania,t CO2 equivalent,108.775747927,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,RO,Romania,t CO2 equivalent,220.892158770,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,RO,Romania,t CO2 equivalent,47.746786136,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,RO,Romania,t CO2 equivalent,46.874628541,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,RO,Romania,t CO2 equivalent,27.969086014,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,RO,Romania,t CO2 equivalent,44.350252835,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,RO,Romania,t CO2 equivalent,124.664830486,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,RO,Romania,t CO2 equivalent,248.239705043,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,RO,Romania,t CO2 equivalent,138.260088885,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,RO,Romania,t CO2 equivalent,97.410517169,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,RO,Romania,t CO2 equivalent,86.497396971,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,RO,Romania,t CO2 equivalent,56.099031065,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,RO,Romania,t CO2 equivalent,105.957504482,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,RO,Romania,t CO2 equivalent,133.540392214,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,RO,Romania,t CO2 equivalent,105.175078070,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,PT,Portugal,t CO2 equivalent,1413.242187581,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,PT,Portugal,t CO2 equivalent,1402.172556465,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,PT,Portugal,t CO2 equivalent,1398.924328004,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,PT,Portugal,t CO2 equivalent,1179.572080592,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,PT,Portugal,t CO2 equivalent,1073.248916036,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,PT,Portugal,t CO2 equivalent,1129.425718868,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,PT,Portugal,t CO2 equivalent,1191.511317374,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,PT,Portugal,t CO2 equivalent,1161.476468409,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,PT,Portugal,t CO2 equivalent,1170.011046397,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,PT,Portugal,t CO2 equivalent,1528.883499127,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,PT,Portugal,t CO2 equivalent,1682.790519675,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,PT,Portugal,t CO2 equivalent,1171.939969986,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,PT,Portugal,t CO2 equivalent,1240.994638200,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,PT,Portugal,t CO2 equivalent,1532.674164646,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,PT,Portugal,t CO2 equivalent,1789.522247862,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,PT,Portugal,t CO2 equivalent,1567.817453250,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,PT,Portugal,t CO2 equivalent,1710.246540939,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,PT,Portugal,t CO2 equivalent,1798.568531815,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,PT,Portugal,t CO2 equivalent,1992.916726562,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,PT,Portugal,t CO2 equivalent,1815.885197612,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,PT,Portugal,t CO2 equivalent,1649.977501040,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,PT,Portugal,t CO2 equivalent,1970.407112345,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,PT,Portugal,t CO2 equivalent,2117.113572336,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,PT,Portugal,t CO2 equivalent,2131.285540621,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,PT,Portugal,t CO2 equivalent,1979.668690830,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,PT,Portugal,t CO2 equivalent,2042.819670891,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,PT,Portugal,t CO2 equivalent,2395.274223750,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,PT,Portugal,t CO2 equivalent,2560.341594772,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,PT,Portugal,t CO2 equivalent,2682.466826492,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,PT,Portugal,t CO2 equivalent,3097.286322393,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,PT,Portugal,t CO2 equivalent,2213.223986788,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,PT,Portugal,t CO2 equivalent,2167.726304404,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,PL,Poland,t CO2 equivalent,1277.4006048,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
