Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,FR,France,t CO2 equivalent,539081.984826978,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,FR,France,t CO2 equivalent,564817.275523538,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,FR,France,t CO2 equivalent,558514.204517034,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,FR,France,t CO2 equivalent,533339.667951372,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,FR,France,t CO2 equivalent,526621.48843435,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,FR,France,t CO2 equivalent,529580.941310581,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,FR,France,t CO2 equivalent,541620.063187198,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,FR,France,t CO2 equivalent,533355.81087393,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,FR,France,t CO2 equivalent,546700.186202884,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,FR,France,t CO2 equivalent,538453.296872042,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,FR,France,t CO2 equivalent,549807.358290361,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,FR,France,t CO2 equivalent,540186.772274109,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,FR,France,t CO2 equivalent,523733.033125475,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,FR,France,t CO2 equivalent,524145.33863442,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,FR,France,t CO2 equivalent,523896.770235064,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,FR,France,t CO2 equivalent,524417.338694608,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,FR,France,t CO2 equivalent,514901.504891481,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,FR,France,t CO2 equivalent,508020.094367265,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,FR,France,t CO2 equivalent,502230.644241164,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,FR,France,t CO2 equivalent,489444.621453125,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,FR,France,t CO2 equivalent,490313.907115224,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,FR,France,t CO2 equivalent,464868.97796819,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,FR,France,t CO2 equivalent,461401.788014115,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,FR,France,t CO2 equivalent,461473.79469202,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,FR,France,t CO2 equivalent,432960.924050313,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,FR,France,t CO2 equivalent,440779.892159187,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,FR,France,t CO2 equivalent,448891.310969357,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,FR,France,t CO2 equivalent,461662.876702591,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,FR,France,t CO2 equivalent,445341.769132007,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,FR,France,t CO2 equivalent,437614.169356179,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,FR,France,t CO2 equivalent,382167.634411827,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,FR,France,t CO2 equivalent,409740.012016393,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,FI,Finland,t CO2 equivalent,48310.949994893,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,FI,Finland,t CO2 equivalent,33676.293727951,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,FI,Finland,t CO2 equivalent,38649.358272548,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,FI,Finland,t CO2 equivalent,39656.641520006,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,FI,Finland,t CO2 equivalent,51666.167237730,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,FI,Finland,t CO2 equivalent,49018.847827006,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,FI,Finland,t CO2 equivalent,48833.059381226,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,FI,Finland,t CO2 equivalent,52236.859474754,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,FI,Finland,t CO2 equivalent,50922.401254662,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,FI,Finland,t CO2 equivalent,50176.192897425,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,FI,Finland,t CO2 equivalent,48930.455123428,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,FI,Finland,t CO2 equivalent,53348.985644712,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,FI,Finland,t CO2 equivalent,54810.777275015,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,FI,Finland,t CO2 equivalent,61915.245533632,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,FI,Finland,t CO2 equivalent,56415.256840351,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,FI,Finland,t CO2 equivalent,44273.145524829,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,FI,Finland,t CO2 equivalent,52098.949472289,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,FI,Finland,t CO2 equivalent,59958.294054274,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,FI,Finland,t CO2 equivalent,49171.637570765,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,FI,Finland,t CO2 equivalent,32585.220604536,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,FI,Finland,t CO2 equivalent,51925.971145972,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,FI,Finland,t CO2 equivalent,45167.444516644,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,FI,Finland,t CO2 equivalent,37524.356593834,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,FI,Finland,t CO2 equivalent,44822.924062119,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,FI,Finland,t CO2 equivalent,40021.460785137,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,FI,Finland,t CO2 equivalent,41268.635218026,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,FI,Finland,t CO2 equivalent,47350.674795518,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,FI,Finland,t CO2 equivalent,47277.590343866,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,FI,Finland,t CO2 equivalent,57630.194903482,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,FI,Finland,t CO2 equivalent,49710.491988825,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,FI,Finland,t CO2 equivalent,40573.073814146,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,FI,Finland,t CO2 equivalent,50057.736854718,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,ES,Spain,t CO2 equivalent,270287.24682054,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,ES,Spain,t CO2 equivalent,279048.194735458,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,ES,Spain,t CO2 equivalent,289090.801784052,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,ES,Spain,t CO2 equivalent,276061.705325134,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,ES,Spain,t CO2 equivalent,292776.044406576,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,ES,Spain,t CO2 equivalent,307553.902489197,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,ES,Spain,t CO2 equivalent,303353.02616416,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,ES,Spain,t CO2 equivalent,321612.974225308,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,ES,Spain,t CO2 equivalent,332059.751696865,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,ES,Spain,t CO2 equivalent,354787.996636564,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,ES,Spain,t CO2 equivalent,369022.615046331,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,ES,Spain,t CO2 equivalent,368334.131903584,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,ES,Spain,t CO2 equivalent,388252.37094262,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,ES,Spain,t CO2 equivalent,396952.630614394,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,ES,Spain,t CO2 equivalent,413643.340415132,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,ES,Spain,t CO2 equivalent,432133.182331135,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,ES,Spain,t CO2 equivalent,424764.567059669,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,ES,Spain,t CO2 equivalent,439613.959482448,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,ES,Spain,t CO2 equivalent,407141.680106666,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,ES,Spain,t CO2 equivalent,368980.34141238,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,ES,Spain,t CO2 equivalent,350900.798930237,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,ES,Spain,t CO2 equivalent,353271.766103906,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,ES,Spain,t CO2 equivalent,347496.082444914,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,ES,Spain,t CO2 equivalent,317279.905508541,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,ES,Spain,t CO2 equivalent,319751.950976554,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,ES,Spain,t CO2 equivalent,328305.794197259,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,ES,Spain,t CO2 equivalent,318009.597614656,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,ES,Spain,t CO2 equivalent,328909.56739593,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,ES,Spain,t CO2 equivalent,324381.512709436,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,ES,Spain,t CO2 equivalent,307275.501341496,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,ES,Spain,t CO2 equivalent,255349.639622115,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,ES,Spain,t CO2 equivalent,276369.027229553,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,EE,Estonia,t CO2 equivalent,37266.841224199,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,EE,Estonia,t CO2 equivalent,34625.919728132,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,EE,Estonia,t CO2 equivalent,25083.631898321,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,EE,Estonia,t CO2 equivalent,18573.099585388,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,EE,Estonia,t CO2 equivalent,19542.104734497,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
